fitness,benefit,cost,litterSize,numLost,numFixed,numTotal,percentFixed
-0.012,0.199,0.1,6,1022982,828,1023810,8.087438098866001e-4
-0.012,0.199,0.1,8,1022771,1037,1023808,0.0010128852284803402
-0.012,0.199,0.1,10,1022636,1173,1023809,0.0011457215164156595
-0.012,0.2,0.1,2,1023806,4,1023810,3.906974926988406e-6
-0.012,0.2,0.1,4,1022972,838,1023810,8.185112472040711e-4
-0.012,0.2,0.1,6,1022506,1304,1023810,0.0012736738261982204
-0.012,0.2,0.1,8,1022207,1602,1023809,0.001564744986613714
-0.012,0.2,0.1,10,1021985,1824,1023809,0.0017815823068560639
-0.012,0.201,0.1,2,1023801,9,1023810,8.790693585723913e-6
-0.012,0.201,0.1,4,1022539,1271,1023810,0.001241441283050566
-0.012,0.201,0.1,6,1021873,1935,1023808,0.0018900028130274427
-0.012,0.201,0.1,8,1021527,2282,1023809,0.002228931372941633
-0.012,0.201,0.1,10,1021320,2488,1023808,0.00243014315184097
-0.01,0.196,0.1,2,1023807,3,1023810,2.9302311952413045e-6
-0.01,0.196,0.1,4,1023749,61,1023810,5.958136763657319e-5
-0.01,0.196,0.1,6,1023706,104,1023810,1.0158134810169855e-4
-0.01,0.196,0.1,8,1023673,137,1023810,1.338138912493529e-4
-0.01,0.196,0.1,10,1023648,162,1023810,1.5823248454303044e-4
-0.01,0.197,0.1,2,1023809,1,1023810,9.767437317471015e-7
-0.01,0.197,0.1,4,1023682,128,1023810,1.25023197663629e-4
-0.01,0.197,0.1,6,1023582,228,1023810,2.2269757083833913e-4
-0.01,0.197,0.1,8,1023496,314,1023810,3.0669753176858986e-4
-0.01,0.197,0.1,10,1023443,367,1023810,3.5846494955118623e-4
-0.01,0.198,0.1,2,1023803,7,1023810,6.837206122229711e-6
-0.01,0.198,0.1,4,1023552,258,1023810,2.519998827907522e-4
-0.01,0.198,0.1,6,1023335,475,1023810,4.6395327257987325e-4
-0.01,0.198,0.1,8,1023206,604,1023810,5.899532139752494e-4
-0.01,0.198,0.1,10,1023121,688,1023809,6.720003438141294e-4
-0.01,0.199,0.1,2,1023806,4,1023810,3.906974926988406e-6
-0.01,0.199,0.1,4,1023297,513,1023810,5.01069534386263e-4
-0.01,0.199,0.1,6,1023023,786,1023809,7.677213230202118e-4
-0.01,0.199,0.1,8,1022772,1038,1023810,0.0010138599935534914
-0.01,0.199,0.1,10,1022667,1142,1023809,0.0011154424311565928
-0.01,0.2,0.1,2,1023802,8,1023810,7.813949853976812e-6
-0.01,0.2,0.1,4,1022950,860,1023810,8.399996093025073e-4
-0.01,0.2,0.1,6,1022481,1328,1023809,0.001297116942710994
-0.01,0.2,0.1,8,1022221,1587,1023808,0.0015500953303744453
-0.01,0.2,0.1,10,1022055,1754,1023809,0.0017132101788517194
-0.01,0.201,0.1,2,1023806,4,1023810,3.906974926988406e-6
-0.01,0.201,0.1,4,1022598,1212,1023810,0.001183813402877487
-0.01,0.201,0.1,6,1021853,1954,1023807,0.001908562844364221
-0.01,0.201,0.1,8,1021355,2454,1023809,0.002396931458895165
-0.01,0.201,0.1,10,1021237,2573,1023810,0.0025131616217852924
-0.008,0.196,0.1,2,1023804,6,1023810,5.860462390482609e-6
-0.008,0.196,0.1,4,1023755,55,1023810,5.3720905246090586e-5
-0.008,0.196,0.1,6,1023699,111,1023810,1.0841855422392827e-4
-0.008,0.196,0.1,8,1023640,169,1023809,1.650698518962033e-4
-0.008,0.196,0.1,10,1023651,159,1023810,1.5530225334778913e-4
-0.008,0.197,0.1,2,1023808,2,1023810,1.953487463494203e-6
-0.008,0.197,0.1,4,1023693,117,1023810,1.1427901661441088e-4
-0.008,0.197,0.1,6,1023580,230,1023810,2.2465105830183336e-4
-0.008,0.197,0.1,8,1023494,316,1023810,3.086510192320841e-4
-0.008,0.197,0.1,10,1023464,346,1023810,3.3795333118449714e-4
-0.008,0.198,0.1,2,1023802,8,1023810,7.813949853976812e-6
-0.008,0.198,0.1,4,1023553,257,1023810,2.510231390590051e-4
-0.008,0.198,0.1,6,1023327,483,1023810,4.7176722243385004e-4
