fitness,benefit,cost,litterSize,numInter,numLost,numFixed,numTotal,percentFixed
-0.008,0.196,0.1,4,3,1000214,26,1000240,2.599376149724066e-5
-0.008,0.196,0.1,4,6,1000237,3,1000240,2.999280172758538e-6
-0.008,0.197,0.1,4,1,1000111,119,1000230,1.1897263629365246e-4
-0.008,0.197,0.1,4,3,1000168,62,1000230,6.198574327904583e-5
-0.008,0.197,0.1,4,6,1000219,11,1000230,1.0997470581766193e-5
-0.008,0.198,0.1,4,1,1000057,143,1000200,1.4297140571885623e-4
-0.008,0.198,0.1,4,3,1000138,62,1000200,6.19876024795041e-5
-0.008,0.198,0.1,4,6,1000166,34,1000200,3.3993201359728057e-5
-0.008,0.199,0.1,4,1,1000288,132,1000420,1.319445832750245e-4
-0.008,0.199,0.1,4,3,1000309,111,1000420,1.1095339957217968e-4
-0.008,0.199,0.1,4,6,1000347,63,1000410,6.297418058595976e-5
-0.008,0.2,0.1,4,1,1000317,153,1000470,1.5292812378182253e-4
-0.008,0.2,0.1,4,3,1000308,152,1000460,1.5193011214841172e-4
-0.008,0.2,0.1,4,6,1000343,117,1000460,1.1694620474581693e-4
-0.008,0.201,0.1,4,1,1000348,182,1000530,1.8190359109671874e-4
-0.008,0.201,0.1,4,3,1000298,232,1000530,2.3187710513427882e-4
-0.008,0.201,0.1,4,6,1000298,232,1000530,2.3187710513427882e-4
-0.006,0.196,0.1,4,1,1000133,107,1000240,1.0697432616172119e-4
-0.006,0.196,0.1,4,3,1000203,37,1000240,3.699112213068864e-5
-0.006,0.196,0.1,4,6,1000230,2,1000232,1.9995361076230316e-6
-0.006,0.197,0.1,4,1,1000121,109,1000230,1.089749357647741e-4
-0.006,0.197,0.1,4,3,1000179,51,1000230,5.098827269727963e-5
-0.006,0.197,0.1,4,6,1000215,15,1000230,1.4996550793317538e-5
-0.006,0.198,0.1,4,1,1000075,125,1000200,1.249750049990002e-4
-0.006,0.198,0.1,4,3,1000136,64,1000200,6.39872025594881e-5
