fitness,benefit,cost,litterSize,numLost,numFixed,numTotal,percentFixed
-0.014,0.201,0.1,2,1132851,9,1132860,7.944494465335522e-6
-0.014,0.201,0.1,4,1132536,274,1132810,2.418763958651495e-4
-0.014,0.201,0.1,6,1132621,169,1132790,1.491891701021372e-4
-0.014,0.201,0.1,8,1132634,136,1132770,1.200596767216646e-4
-0.014,0.201,0.1,10,1132645,94,1132739,8.298469462073787e-5
-0.014,0.21,0.1,2,1000004,6,1000010,5.999940000599994e-6
-0.014,0.21,0.1,4,999026,984,1000010,9.83990160098399e-4
-0.014,0.21,0.1,6,999587,423,1000010,4.229957700422996e-4
-0.014,0.21,0.1,8,999767,243,1000010,2.4299757002429977e-4
-0.014,0.21,0.1,10,999838,172,1000010,1.7199828001719983e-4
-0.012,0,0,2,999802,247,1000049,2.469878975930179e-4
-0.012,0,0,4,999879,171,1000050,1.7099145042747863e-4
-0.012,0,0,6,999926,124,1000050,1.239938003099845e-4
-0.012,0,0,8,999950,100,1000050,9.99950002499875e-5
-0.012,0,0,10,999958,92,1000050,9.19954002299885e-5
-0.012,0.19,0.1,2,1005024,6,1005030,5.969971045640428e-6
-0.012,0.19,0.1,4,1004991,20,1005011,1.990027969843116e-5
-0.012,0.19,0.1,6,1004949,31,1004980,3.084638500268662e-5
-0.012,0.19,0.1,8,1004924,36,1004960,3.582232128641936e-5
-0.012,0.19,0.1,10,1004910,40,1004950,3.980297527240161e-5
-0.012,0.196,0.1,2,1132854,6,1132860,5.296329643557015e-6
-0.012,0.196,0.1,4,1132717,93,1132810,8.209673290313469e-5
-0.012,0.196,0.1,6,1132688,102,1132790,9.004316775395263e-5
-0.012,0.196,0.1,8,1132691,79,1132770,6.974054750743752e-5
-0.012,0.196,0.1,10,1132662,68,1132730,6.0031958189506765e-5
-0.012,0.197,0.1,2,1132855,5,1132860,4.413608036297512e-6
-0.012,0.197,0.1,4,1132706,104,1132810,9.18070991604947e-5
-0.012,0.197,0.1,6,1132693,97,1132790,8.562928698170004e-5
-0.012,0.197,0.1,8,1132673,97,1132770,8.563079883824607e-5
-0.012,0.197,0.1,10,1132659,71,1132730,6.268042693316147e-5
-0.012,0.198,0.1,2,1132850,10,1132860,8.827216072595024e-6
-0.012,0.198,0.1,4,1132662,148,1132810,1.3064856418993476e-4
-0.012,0.198,0.1,6,1132638,152,1132790,1.3418197547647844e-4
-0.012,0.198,0.1,8,1132684,86,1132770,7.592008969164085e-5
-0.012,0.198,0.1,10,1132652,78,1132730,6.886018733502247e-5
-0.012,0.199,0.1,2,1132852,8,1132860,7.06177285807602e-6
-0.012,0.199,0.1,4,1132648,162,1132810,1.430072121538475e-4
-0.012,0.199,0.1,6,1132651,139,1132790,1.227058854686217e-4
-0.012,0.199,0.1,8,1132671,99,1132770,8.739638231944702e-5
-0.012,0.199,0.1,10,1132635,95,1132730,8.386817688239915e-5
-0.012,0.2,0.1,2,1132858,2,1132860,1.765443214519005e-6
-0.012,0.2,0.1,4,1132619,191,1132810,1.6860726865052393e-4
-0.012,0.2,0.1,6,1132649,141,1132790,1.2447143777752275e-4
-0.012,0.2,0.1,8,1132642,128,1132770,1.1299734279686079e-4
-0.012,0.2,0.1,10,1132649,81,1132730,7.150865607867718e-5
-0.012,0.201,0.1,2,1132854,3,1132857,2.6481718345740016e-6
-0.012,0.201,0.1,4,1132562,248,1132810,2.1892462107502583e-4
-0.012,0.201,0.1,6,1132635,155,1132790,1.3683030393982999e-4
-0.012,0.201,0.1,8,1132645,125,1132770,1.1034896757505936e-4
-0.012,0.201,0.1,10,1132602,128,1132730,1.1300133306260097e-4
-0.012,0.21,0.1,2,1000003,7,1000010,6.999930000699993e-6
-0.012,0.21,0.1,4,999209,801,1000010,8.009919900800992e-4
